,Brand,Color,Touchscreen,Display_size_inches,Operating System,Processor Core,Internal Storage,Primary Camera,Secondary Camera Available,Wi-Fi,Battery Capacity,SmartPhone,X_res,Y_res,Processor,5G,price
510,itel,Any Color,1,6.6,Android 12,8,128.0,50.0,1,1,5000,1,1612,720,Bionic Chip,0,6985
511,REDMI,Any Color,1,6.67,Android 12,8,256.0,200.0,1,1,4980,1,2400,1080,Dimensity,1,29999
512,MOTOROLA,Any Color,1,6.5,Android 13,8,256.0,50.0,1,1,4400,1,2400,1080,Dimensity,1,29999
514,IQOO,Any Color,1,6.68,Android 12,4,128.0,50.0,1,1,5000,1,2400,1080,Bionic Chip,1,15280
516,POCO,Any Color,1,6.67,Android 12,8,128.0,108.0,1,1,5000,1,2400,1080,Snapdragon,1,19999
517,POCO,Any Color,1,6.67,Android 12,8,256.0,108.0,1,1,5000,1,2400,1080,Snapdragon,1,21999
518,POCO,Any Color,1,6.52,Android 12,8,32.0,50.0,1,1,5000,1,1600,720,Helio,0,6299
519,POCO,Any Color,1,6.43,Android,8,128.0,64.0,1,1,5000,1,2400,1080,Helio,0,12999
520,SAMSUNG,Black,0,2.0,Android,8,128.0,64.0,1,1,800,0,128,160,Bionic Chip,0,2449
521,SAMSUNG,Any Color,1,6.6,Android 13,8,128.0,50.0,1,1,6000,1,2408,1080,Exynos,1,14990
522,SAMSUNG,Any Color,1,6.6,Android 12,8,64.0,50.0,1,1,6000,1,2408,1080,Exynos,0,10999
523,POCO,Any Color,1,6.58,Android 12,8,128.0,50.0,1,1,5000,1,2400,1080,Dimensity,1,12999
524,vivo,Any Color,1,6.38,Android 13,8,128.0,64.0,1,1,4500,1,2400,1080,Snapdragon,1,18999
525,vivo,Any Color,1,6.38,Android 13,8,128.0,64.0,1,1,4500,1,2400,1080,Snapdragon,1,20999
526,vivo,Any Color,1,6.78,Android 13,8,128.0,50.0,1,1,4600,1,2400,1080,Dimensity,1,32999
527,SAMSUNG,Any Color,1,6.6,Android 13,8,128.0,50.0,1,1,6000,1,1080,2408,Bionic Chip,1,14654
528,vivo,Any Color,1,6.38,Android 13,8,128.0,64.0,1,1,4500,1,2400,1080,Snapdragon,1,18999
529,REDMI,Any Color,1,6.79,Android 13,8,128.0,50.0,1,1,5000,1,2460,1080,Helio,0,11499
530,Infinix,Any Color,1,6.78,Android 13,8,128.0,50.0,1,1,6000,1,2460,1080,Dimensity,1,13499
531,vivo,Any Color,1,6.78,Android 13,8,128.0,50.0,1,1,4600,1,2400,1080,Dimensity,1,32999
532,OnePlus,Any Color,1,6.7,Android 13,8,128.0,50.0,1,1,5000,1,1080,2412,Bionic Chip,1,26450
533,realme,Any Color,1,6.7,Android 13,8,256.0,200.0,1,1,5000,1,2412,1080,Dimensity,1,27999
534,POCO,Any Color,1,6.79,Android 13,8,128.0,50.0,1,1,5000,1,2460,1080,Snapdragon,1,11999
535,MOTOROLA,Any Color,1,6.5,Android 13,8,128.0,50.0,1,1,6000,1,2400,1080,Dimensity,1,15999
536,OnePlus,Any Color,1,6.7,Android 13,8,128.0,50.0,1,1,5000,1,1080,2412,Bionic Chip,1,26696
537,realme,Any Color,1,6.7,Android 13,8,256.0,100.0,1,1,5000,1,2412,1080,Dimensity,1,24999
538,POCO,Any Color,1,6.79,Android 13,8,128.0,50.0,1,1,5000,1,2460,1080,Snapdragon,1,12999
539,realme,Any Color,1,6.7,Android 13,8,256.0,200.0,1,1,5000,1,2412,1080,Dimensity,1,29999
540,APPLE,Blue,1,6.7,Ios,6,128.0,12.0,1,1,4323,1,2778,1284,Bionic Chip,1,73999
541,realme,Any Color,1,6.7,Android 13,8,256.0,100.0,1,1,5000,1,2412,1080,Dimensity,1,24999
542,vivo,Any Color,1,6.78,Android 13,8,256.0,64.0,1,1,5000,1,2400,1080,Snapdragon,1,28999
543,MOTOROLA,Any Color,1,6.5,Android 13,8,64.0,13.0,1,1,5000,1,1600,720,Qualcomm,0,6999
544,POCO,Any Color,1,6.79,Android 13,8,128.0,50.0,1,1,5000,1,2460,1080,Snapdragon,1,11999
545,POCO,Any Color,1,6.52,Android 12,8,32.0,50.0,1,1,5000,1,1600,720,Helio,0,5499
546,REDMI,Any Color,1,6.52,Android 13,8,64.0,50.0,1,1,5000,1,2160,1080,Bionic Chip,0,7240
547,REDMI,Any Color,1,6.79,Android 13,8,128.0,50.0,1,1,5000,1,2460,1080,Helio,0,11499
548,Infinix,Any Color,1,6.6,Android 12,8,128.0,13.0,1,1,6000,1,1612,720,Qualcomm,0,7799
549,MOTOROLA,Any Color,1,6.5,Android 12,8,128.0,50.0,1,1,5000,1,2400,1080,Snapdragon,0,11999
550,POCO,Any Color,1,6.79,Android 13,8,64.0,50.0,1,1,5000,1,2460,1080,Snapdragon,1,10999
551,Infinix,Any Color,1,6.6,Android 12,8,128.0,13.0,1,1,6000,1,1612,720,Qualcomm,0,7799
552,realme,Any Color,1,6.74,Android 13,8,64.0,50.0,1,1,5000,1,1600,720,Qualcomm,0,8999
553,REDMI,Any Color,1,6.79,Android 13,8,128.0,50.0,1,1,5000,1,2460,1080,Helio,0,11499
554,POCO,Any Color,1,6.52,Android 13,8,64.0,50.0,1,1,5000,1,1600,720,Helio,0,5999
555,Infinix,Any Color,1,6.6,Android 12,8,64.0,50.0,1,1,5000,1,1612,720,Qualcomm,0,8399
556,MOTOROLA,Any Color,1,6.5,Android 13,8,64.0,13.0,1,1,5000,1,1600,720,Qualcomm,0,7999
557,realme,Any Color,1,6.74,Android 13,8,64.0,50.0,1,1,5000,1,1600,720,Qualcomm,0,8999
558,Infinix,Any Color,1,6.6,Android 12,8,64.0,13.0,1,1,6000,1,1612,720,Qualcomm,0,9999
559,POCO,Any Color,1,6.52,Android 12,8,32.0,50.0,1,1,5000,1,1600,720,Helio,0,5499
560,MOTOROLA,Any Color,1,6.5,Android 12,8,64.0,50.0,1,1,5000,1,1600,720,Helio,0,8999
561,Infinix,Any Color,1,6.6,Android 12,8,64.0,13.0,1,1,6000,1,1612,720,Qualcomm,0,9999
